"name","address","review","score"
"용수성당","제주특별자치도 제주시 한경면 용수리 4273-1",0,0.0
"고산성당","제주특별자치도 제주시 한경면 칠전로 1",1,5.0
"신창성당","제주특별자치도 제주시 한경면 두신로 28",0,5.0
"청수성당","제주특별자치도 제주시 한경면 중산간서로 3521",0,0.0
"모슬포성당","제주특별자치도 서귀포시 대정읍 영서중로 22",1,4.5
"마라도성당","제주특별자치도 서귀포시 대정읍 마라로 153",12,5.0
"한림성당","제주특별자치도 제주시 한림읍 한수풀로 20",6,5.0
"금악성당","제주특별자치도 제주시 한림읍 금악북로 320",1,0.0
"성글라라수도원 금악성당","제주특별자치도 제주시 한림읍 금악북로 320",0,5.0
"삼위일체대성당","제주특별자치도 제주시 한림읍 새미소길 15",0,5.0
"애월성당","제주특별자치도 제주시 애월읍 애월로 159",0,0.0
"천주교 제주교구 화순성당","제주특별자치도 서귀포시 안덕면 화순중앙로12번길 1",0,5.0
"하귀성당","제주특별자치도 제주시 애월읍 하귀로23길 21",0,5.0
"중문성당","제주특별자치도 서귀포시 천제연로 149",4,0.0
"정난주성당","제주특별자치도 제주시 우정로6길 23",0,5.0
"노형성당","제주특별자치도 제주시 광평동로 37",0,5.0
"연동성당","제주특별자치도 제주시 1100로 3157",3,4.7
"신제주성당","제주특별자치도 제주시 신대로8길 42",9,5.0
"새서귀포성당","제주특별자치도 서귀포시 법환상로2번길 86",0,4.0
"천주교서문교회 제주","제주특별자치도 제주시 남성로11길 25",1,0.0
"천주교광양성당","제주특별자치도 제주시 동광로5길 19-18",0,0.0
"중앙성당","제주특별자치도 제주시 관덕로8길 14",3,3.7
"천주교김기량성당","제주특별자치도 제주시 구남동2길 55",0,4.5
"동문성당","제주특별자치도 제주시 신선길 20",0,5.0
"동광성당","제주특별자치도 제주시 태성로2길 10",0,5.0
"서귀포성당","제주특별자치도 서귀포시 태평로 398",3,5.0
"서귀복자성당","제주특별자치도 서귀포시 중앙로150번길 17",1,5.0
"화북성당","제주특별자치도 제주시 청풍남8길 14",0,0.0
"효돈성당","제주특별자치도 서귀포시 효돈로167번길 11",1,0.0
"조천성당","제주특별자치도 제주시 조천읍 조천2길 19",1,5.0
"남원성당","제주특별자치도 서귀포시 남원읍 남한로 53",0,0.0
"김녕성당","제주특별자치도 제주시 구좌읍 김녕로8길 5-2",0,3.4
"표선성당","제주특별자치도 서귀포시 표선면 표선동서로 169",4,5.0
"세화성당","제주특별자치도 제주시 구좌읍 세종로 9",0,5.0
"성산포성당","제주특별자치도 서귀포시 성산읍 고성오조로 120",14,4.9
"우도성당","제주특별자치도 제주시 우도면 영일진사길 8",0,4.0
